Boat Year,Make,Model,Engine Make,Engine HP,Trade in Value
1989,Bayliner,Capri,N/A,N/A,"$2,000.00"
1990,Legend,Pro Fisherman,Mercury,50,"$2,000.00"
1990,Legend,Super Sportster,Mercury,60,"$3,500.00"
1990,Legend,170 Classic OB,Nissan,90,"$4,500.00"
1993,Princecraft,SuperPro 166,Johnson/Evinrude,15,"$6,088.28"
1995,Doral,Prestige 185,Mercruiser,4.3LX Alpha,"$3,500.00"
1996,Princecraft,Vectra 16,Johnson,25,"$3,500.00"
1999,Legend,V140 Prosport,Mercury,20,"$2,500.00"
1999,Seadoo,GT185,Mercruiser,Alpha 1.81:1,"$4,000.00"
1999,Legend,14 Resorter,Honda,25,"$3,480.00"
2000,Legend,V170 AllSport,Mercury,50,"$5,000.00"
2000,Princecraft,Pro 169 DLX SC,Evinrude,90,"$2,200.00"
2000,Legend,V170 AllSport,N/A,75,"$3,500.00"
2000,Princecraft,Vectra 182,Johnson,35,"$5,000.00"
2000,Legend,V170 AllSport,Mercury,50,"$7,999.00"
2000,Legend,Yukon 14.3,Mercury,15,"$3,000.00"
2000,Princecraft,Superpro Platinum 190,Evinrude,150,"$10,000.00"
2000,Legend,17 Pro Adventure,Mercury,90,"$11,050.00"
2000,Legend,V-165 Viper,Mercury,50,"$4,000.00"
2001,Legend,170 Fish n Ski,Mercury,115,"$5,000.00"
2002,Legend,188 Sportfish,Mercury,90,"$4,500.00"
2002,Legend,188 BR Ski,Mercury,115,"$4,500.00"
2002,Legend,Pro 167 SC,N/A,75,"$8,960.00"
2002,Legend,166 SPORTFISH,N/A,75,"$3,200.00"
2002,Boston Whaler,Vantage 23,Mercury,75,"$20,000.00"
2002,Legend,192 BR,Mercruiser,4.3L Alpha,"$36,307.98"
2002,Princecraft,Pro Series 176,Mercury,135,"$14,559.00"
2003,Legend,179 Xcalibur,Mercury,60,"$5,000.00"
2003,Legend,V170 AllSport,N/A,N/A,"$4,000.00"
2003,Legend,195 Xcalibur,Honda,130,"$11,853.98"
2003,Legend,430 Heavy Duty,Yamaha,25,"$2,750.00"
2003,Legend,185 Xcalibur,Mercury,115,"$7,500.00"
2004,Lund,1650 Rebel DC,Yamaha,50,"$7,827.78"
2004,Legend,164 XCITE SC,Mercury,40,"$7,500.00"
2004,Seadoo,Speedster,N/A,N/A,"$1,700.00"
